"","X","wyniki","terminarz","kraj","liga","liga_nr"
"127",127,"https://www.flashscore.pl/pilka-nozna/hiszpania/segunda-division-b-grupa-4/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/segunda-division-b-grupa-4/mecze","hiszpania","segunda-division-b-grupa-4","3"
"128",128,"https://www.flashscore.pl/pilka-nozna/hiszpania/segunda-division-b-grupa-5/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/segunda-division-b-grupa-5/mecze","hiszpania","segunda-division-b-grupa-5","3"
"129",129,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-1/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-1/mecze","hiszpania","tercera-rfef-group-1","4"
"130",130,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-2/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-2/mecze","hiszpania","tercera-rfef-group-2","4"
"131",131,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-3/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-3/mecze","hiszpania","tercera-rfef-group-3","4"
"132",132,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-4/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-4/mecze","hiszpania","tercera-rfef-group-4","4"
"133",133,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-5/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-5/mecze","hiszpania","tercera-rfef-group-5","4"
"134",134,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-6/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-6/mecze","hiszpania","tercera-rfef-group-6","4"
"135",135,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-7/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-7/mecze","hiszpania","tercera-rfef-group-7","4"
"136",136,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-8/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-8/mecze","hiszpania","tercera-rfef-group-8","4"
"137",137,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-9/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-9/mecze","hiszpania","tercera-rfef-group-9","4"
"138",138,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-10/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-10/mecze","hiszpania","tercera-rfef-group-10","4"
"139",139,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-11/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-11/mecze","hiszpania","tercera-rfef-group-11","4"
"140",140,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-12/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-12/mecze","hiszpania","tercera-rfef-group-12","4"
"141",141,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-13/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-13/mecze","hiszpania","tercera-rfef-group-13","4"
"142",142,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-14/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-14/mecze","hiszpania","tercera-rfef-group-14","4"
"143",143,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-15/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-15/mecze","hiszpania","tercera-rfef-group-15","4"
"144",144,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-16/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-16/mecze","hiszpania","tercera-rfef-group-16","4"
"145",145,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-17/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-17/mecze","hiszpania","tercera-rfef-group-17","4"
"146",146,"https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-18/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/tercera-rfef-group-18/mecze","hiszpania","tercera-rfef-group-18","4"
"147",147,"https://www.flashscore.pl/pilka-nozna/hiszpania/primera-division-women/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/primera-division-women/mecze","hiszpania","primera-division-women","k"
"148",148,"https://www.flashscore.pl/pilka-nozna/hiszpania/puchar-krola/wyniki","https://www.flashscore.pl/pilka-nozna/hiszpania/puchar-krola/mecze","hiszpania","puchar-krola","p"
"149",149,"https://www.flashscore.pl/pilka-nozna/holandia/eredivisie/wyniki","https://www.flashscore.pl/pilka-nozna/holandia/eredivisie/mecze","holandia","eredivisie","1"
"150",150,"https://www.flashscore.pl/pilka-nozna/holandia/eerste-divisie/wyniki","https://www.flashscore.pl/pilka-nozna/holandia/eerste-divisie/mecze","holandia","eerste-divisie","2"
"151",151,"https://www.flashscore.pl/pilka-nozna/holandia/reserve-league/wyniki","https://www.flashscore.pl/pilka-nozna/holandia/reserve-league/mecze","holandia","reserve-league","3"
"152",152,"https://www.flashscore.pl/pilka-nozna/holandia/knvb-beker/wyniki","https://www.flashscore.pl/pilka-nozna/holandia/knvb-beker/mecze","holandia","knvb-beker","p"
"153",153,"https://www.flashscore.pl/pilka-nozna/hong-kong/premier-league/wyniki","https://www.flashscore.pl/pilka-nozna/hong-kong/premier-league/mecze","hong-kong","premier-league","1"
"154",154,"https://www.flashscore.pl/pilka-nozna/hong-kong/fa-cup/wyniki","https://www.flashscore.pl/pilka-nozna/hong-kong/fa-cup/mecze","hong-kong","fa-cup","p"
"155",155,"https://www.flashscore.pl/pilka-nozna/indie/isl/wyniki","https://www.flashscore.pl/pilka-nozna/indie/isl/mecze","indie","isl","1"
"156",156,"https://www.flashscore.pl/pilka-nozna/indonezja/liga-1/wyniki","https://www.flashscore.pl/pilka-nozna/indonezja/liga-1/mecze","indonezja","liga-1","1"
"157",157,"https://www.flashscore.pl/pilka-nozna/indonezja/liga-2/wyniki","https://www.flashscore.pl/pilka-nozna/indonezja/liga-2/mecze","indonezja","liga-2","2"
"158",158,"https://www.flashscore.pl/pilka-nozna/indonezja/president-cup/wyniki","https://www.flashscore.pl/pilka-nozna/indonezja/president-cup/mecze","indonezja","president-cup","p"
"159",159,"https://www.flashscore.pl/pilka-nozna/iran/persian-gulf-pro-league/wyniki","https://www.flashscore.pl/pilka-nozna/iran/persian-gulf-pro-league/mecze","iran","persian-gulf-pro-league","1"
"160",160,"https://www.flashscore.pl/pilka-nozna/irlandia/premier-division/wyniki","https://www.flashscore.pl/pilka-nozna/irlandia/premier-division/mecze","irlandia","premier-division","1"
"161",161,"https://www.flashscore.pl/pilka-nozna/irlandia/dywizja-1/wyniki","https://www.flashscore.pl/pilka-nozna/irlandia/dywizja-1/mecze","irlandia","dywizja-1","2"
"162",162,"https://www.flashscore.pl/pilka-nozna/irlandia/fai-cup/wyniki","https://www.flashscore.pl/pilka-nozna/irlandia/fai-cup/mecze","irlandia","fai-cup","p"
"163",163,"https://www.flashscore.pl/pilka-nozna/irlandia-polnocna/nifl-premiership/wyniki","https://www.flashscore.pl/pilka-nozna/irlandia-polnocna/nifl-premiership/mecze","irlandia-polnocna","nifl-premiership","1"
"164",164,"https://www.flashscore.pl/pilka-nozna/irlandia-polnocna/irish-league-cup/wyniki","https://www.flashscore.pl/pilka-nozna/irlandia-polnocna/irish-league-cup/mecze","irlandia-polnocna","irish-league-cup","p"
"165",165,"https://www.flashscore.pl/pilka-nozna/islandia/pepsideild/wyniki","https://www.flashscore.pl/pilka-nozna/islandia/pepsideild/mecze","islandia","pepsideild","1"
"166",166,"https://www.flashscore.pl/pilka-nozna/islandia/inkasso-deildin/wyniki","https://www.flashscore.pl/pilka-nozna/islandia/inkasso-deildin/mecze","islandia","inkasso-deildin","2"
"167",167,"https://www.flashscore.pl/pilka-nozna/islandia/division-2/wyniki","https://www.flashscore.pl/pilka-nozna/islandia/division-2/mecze","islandia","division-2","3"
"168",168,"https://www.flashscore.pl/pilka-nozna/islandia/reykjavik-cup/wyniki","https://www.flashscore.pl/pilka-nozna/islandia/reykjavik-cup/mecze","islandia","reykjavik-cup","p"
"169",169,"https://www.flashscore.pl/pilka-nozna/islandia/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/islandia/puchar/mecze","islandia","puchar","p"
"170",170,"https://www.flashscore.pl/pilka-nozna/izrael/ligat-ha-al/wyniki","https://www.flashscore.pl/pilka-nozna/izrael/ligat-ha-al/mecze","izrael","ligat-ha-al","1"
"171",171,"https://www.flashscore.pl/pilka-nozna/izrael/2-liga/wyniki","https://www.flashscore.pl/pilka-nozna/izrael/2-liga/mecze","izrael","2-liga","2"
"172",172,"https://www.flashscore.pl/pilka-nozna/izrael/liga-alef-north/wyniki","https://www.flashscore.pl/pilka-nozna/izrael/liga-alef-north/mecze","izrael","liga-alef-north","3"
"173",173,"https://www.flashscore.pl/pilka-nozna/izrael/liga-alef-south/wyniki","https://www.flashscore.pl/pilka-nozna/izrael/liga-alef-south/mecze","izrael","liga-alef-south","3"
"174",174,"https://www.flashscore.pl/pilka-nozna/izrael/state-cup/wyniki","https://www.flashscore.pl/pilka-nozna/izrael/state-cup/mecze","izrael","state-cup","p"
"175",175,"https://www.flashscore.pl/pilka-nozna/jamajka/premier-league/wyniki","https://www.flashscore.pl/pilka-nozna/jamajka/premier-league/mecze","jamajka","premier-league","1"
"176",176,"https://www.flashscore.pl/pilka-nozna/japonia/j1-league/wyniki","https://www.flashscore.pl/pilka-nozna/japonia/j1-league/mecze","japonia","j1-league","1"
"177",177,"https://www.flashscore.pl/pilka-nozna/japonia/j2-league/wyniki","https://www.flashscore.pl/pilka-nozna/japonia/j2-league/mecze","japonia","j2-league","2"
"178",178,"https://www.flashscore.pl/pilka-nozna/japonia/ybc-levain-cup/wyniki","https://www.flashscore.pl/pilka-nozna/japonia/ybc-levain-cup/mecze","japonia","ybc-levain-cup","p"
"179",179,"https://www.flashscore.pl/pilka-nozna/japonia/emperors-cup/wyniki","https://www.flashscore.pl/pilka-nozna/japonia/emperors-cup/mecze","japonia","emperors-cup","p"
"180",180,"https://www.flashscore.pl/pilka-nozna/jordania/pierwsza-liga/wyniki","https://www.flashscore.pl/pilka-nozna/jordania/pierwsza-liga/mecze","jordania","pierwsza-liga","1"
"181",181,"https://www.flashscore.pl/pilka-nozna/kamerun/elite-one/wyniki","https://www.flashscore.pl/pilka-nozna/kamerun/elite-one/mecze","kamerun","elite-one","1"
"182",182,"https://www.flashscore.pl/pilka-nozna/katar/qsl/wyniki","https://www.flashscore.pl/pilka-nozna/katar/qsl/mecze","katar","qsl","1"
"183",183,"https://www.flashscore.pl/pilka-nozna/katar/division-2/wyniki","https://www.flashscore.pl/pilka-nozna/katar/division-2/mecze","katar","division-2","2"
"184",184,"https://www.flashscore.pl/pilka-nozna/katar/qsl-cup/wyniki","https://www.flashscore.pl/pilka-nozna/katar/qsl-cup/mecze","katar","qsl-cup","p"
"185",185,"https://www.flashscore.pl/pilka-nozna/kazachstan/pierwsza-liga/wyniki","https://www.flashscore.pl/pilka-nozna/kazachstan/pierwsza-liga/mecze","kazachstan","pierwsza-liga","1"
"186",186,"https://www.flashscore.pl/pilka-nozna/kazachstan/first-division/wyniki","https://www.flashscore.pl/pilka-nozna/kazachstan/first-division/mecze","kazachstan","first-division","2"
"187",187,"https://www.flashscore.pl/pilka-nozna/kazachstan/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/kazachstan/puchar/mecze","kazachstan","puchar","p"
