"","X","wyniki","terminarz","kraj","liga","liga_nr"
"234",234,"https://www.flashscore.pl/pilka-nozna/norwegia/dywizja-2-grupa-1/wyniki","https://www.flashscore.pl/pilka-nozna/norwegia/dywizja-2-grupa-1/mecze","norwegia","dywizja-2-grupa-1","3"
"235",235,"https://www.flashscore.pl/pilka-nozna/norwegia/dywizja-2-grupa-2/wyniki","https://www.flashscore.pl/pilka-nozna/norwegia/dywizja-2-grupa-2/mecze","norwegia","dywizja-2-grupa-2","3"
"236",236,"https://www.flashscore.pl/pilka-nozna/norwegia/toppserien-kobiety/wyniki","https://www.flashscore.pl/pilka-nozna/norwegia/toppserien-kobiety/mecze","norwegia","toppserien-kobiety","k"
"237",237,"https://www.flashscore.pl/pilka-nozna/norwegia/nm-puchar/wyniki","https://www.flashscore.pl/pilka-nozna/norwegia/nm-puchar/mecze","norwegia","nm-puchar","p"
"238",238,"https://www.flashscore.pl/pilka-nozna/nowa-zelandia/football-championships/wyniki","https://www.flashscore.pl/pilka-nozna/nowa-zelandia/football-championships/mecze","nowa-zelandia","football-championships","1"
"239",239,"https://www.flashscore.pl/pilka-nozna/nowa-zelandia/national-league-women/wyniki","https://www.flashscore.pl/pilka-nozna/nowa-zelandia/national-league-women/mecze","nowa-zelandia","national-league-women","2"
"240",240,"https://www.flashscore.pl/pilka-nozna/oman/professional-league/wyniki","https://www.flashscore.pl/pilka-nozna/oman/professional-league/mecze","oman","professional-league","1"
"241",241,"https://www.flashscore.pl/pilka-nozna/panama/lpf/wyniki","https://www.flashscore.pl/pilka-nozna/panama/lpf/mecze","panama","lpf","1"
"242",242,"https://www.flashscore.pl/pilka-nozna/paragwaj/division-intermedia/wyniki","https://www.flashscore.pl/pilka-nozna/paragwaj/division-intermedia/mecze","paragwaj","division-intermedia","2"
"243",243,"https://www.flashscore.pl/pilka-nozna/peru/liga-1/wyniki","https://www.flashscore.pl/pilka-nozna/peru/liga-1/mecze","peru","liga-1","1"
"244",244,"https://www.flashscore.pl/pilka-nozna/peru/liga-2/wyniki","https://www.flashscore.pl/pilka-nozna/peru/liga-2/mecze","peru","liga-2","2"
"245",245,"https://www.flashscore.pl/pilka-nozna/polska/pko-bp-ekstraklasa/wyniki","https://www.flashscore.pl/pilka-nozna/polska/pko-bp-ekstraklasa/mecze","polska","pko-bp-ekstraklasa","1"
"246",246,"https://www.flashscore.pl/pilka-nozna/polska/centralna-liga-juniorow/wyniki","https://www.flashscore.pl/pilka-nozna/polska/centralna-liga-juniorow/mecze","polska","centralna-liga-juniorow","5"
"247",247,"https://www.flashscore.pl/pilka-nozna/polska/ekstraliga-kobiet/wyniki","https://www.flashscore.pl/pilka-nozna/polska/ekstraliga-kobiet/mecze","polska","ekstraliga-kobiet","k"
"248",248,"https://www.flashscore.pl/pilka-nozna/portugalia/primeira-liga/wyniki","https://www.flashscore.pl/pilka-nozna/portugalia/primeira-liga/mecze","portugalia","primeira-liga","1"
"249",249,"https://www.flashscore.pl/pilka-nozna/portugalia/ligapro/wyniki","https://www.flashscore.pl/pilka-nozna/portugalia/ligapro/mecze","portugalia","ligapro","2"
"250",250,"https://www.flashscore.pl/pilka-nozna/portugalia/taca-de-portugal/wyniki","https://www.flashscore.pl/pilka-nozna/portugalia/taca-de-portugal/mecze","portugalia","taca-de-portugal","p"
"251",251,"https://www.flashscore.pl/pilka-nozna/rosja/premier-liga/wyniki","https://www.flashscore.pl/pilka-nozna/rosja/premier-liga/mecze","rosja","premier-liga","1"
"252",252,"https://www.flashscore.pl/pilka-nozna/rosja/fnl/wyniki","https://www.flashscore.pl/pilka-nozna/rosja/fnl/mecze","rosja","fnl","2"
"253",253,"https://www.flashscore.pl/pilka-nozna/rosja/pfl-center/wyniki","https://www.flashscore.pl/pilka-nozna/rosja/pfl-center/mecze","rosja","pfl-center","3"
"254",254,"https://www.flashscore.pl/pilka-nozna/rosja/pfl-east/wyniki","https://www.flashscore.pl/pilka-nozna/rosja/pfl-east/mecze","rosja","pfl-east","3"
"255",255,"https://www.flashscore.pl/pilka-nozna/rosja/pfl-south/wyniki","https://www.flashscore.pl/pilka-nozna/rosja/pfl-south/mecze","rosja","pfl-south","3"
"256",256,"https://www.flashscore.pl/pilka-nozna/rosja/pfl-ural-povolzhye/wyniki","https://www.flashscore.pl/pilka-nozna/rosja/pfl-ural-povolzhye/mecze","rosja","pfl-ural-povolzhye","3"
"257",257,"https://www.flashscore.pl/pilka-nozna/rosja/pfl-west/wyniki","https://www.flashscore.pl/pilka-nozna/rosja/pfl-west/mecze","rosja","pfl-west","3"
"258",258,"https://www.flashscore.pl/pilka-nozna/rosja/liga-juniorow/wyniki","https://www.flashscore.pl/pilka-nozna/rosja/liga-juniorow/mecze","rosja","liga-juniorow","4"
"259",259,"https://www.flashscore.pl/pilka-nozna/rosja/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/rosja/puchar/mecze","rosja","puchar","p"
"260",260,"https://www.flashscore.pl/pilka-nozna/rpa/gladafrica-championship/wyniki","https://www.flashscore.pl/pilka-nozna/rpa/gladafrica-championship/mecze","rpa","gladafrica-championship","2"
"261",261,"https://www.flashscore.pl/pilka-nozna/rpa/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/rpa/puchar/mecze","rpa","puchar","p"
"262",262,"https://www.flashscore.pl/pilka-nozna/san-marino/campionato-sammarinese/wyniki","https://www.flashscore.pl/pilka-nozna/san-marino/campionato-sammarinese/mecze","san-marino","campionato-sammarinese","1"
"263",263,"https://www.flashscore.pl/pilka-nozna/senegal/ligue-1/wyniki","https://www.flashscore.pl/pilka-nozna/senegal/ligue-1/mecze","senegal","ligue-1","1"
"264",264,"https://www.flashscore.pl/pilka-nozna/serbia/super-liga/wyniki","https://www.flashscore.pl/pilka-nozna/serbia/super-liga/mecze","serbia","super-liga","1"
"265",265,"https://www.flashscore.pl/pilka-nozna/serbia/prva-liga/wyniki","https://www.flashscore.pl/pilka-nozna/serbia/prva-liga/mecze","serbia","prva-liga","2"
"266",266,"https://www.flashscore.pl/pilka-nozna/serbia/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/serbia/puchar/mecze","serbia","puchar","p"
"267",267,"https://www.flashscore.pl/pilka-nozna/singapur/premier-league/wyniki","https://www.flashscore.pl/pilka-nozna/singapur/premier-league/mecze","singapur","premier-league","1"
"268",268,"https://www.flashscore.pl/pilka-nozna/slowacja/fortuna-liga/wyniki","https://www.flashscore.pl/pilka-nozna/slowacja/fortuna-liga/mecze","slowacja","fortuna-liga","1"
"269",269,"https://www.flashscore.pl/pilka-nozna/slowacja/2-liga/wyniki","https://www.flashscore.pl/pilka-nozna/slowacja/2-liga/mecze","slowacja","2-liga","2"
"270",270,"https://www.flashscore.pl/pilka-nozna/slowacja/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/slowacja/puchar/mecze","slowacja","puchar","p"
"271",271,"https://www.flashscore.pl/pilka-nozna/slowenia/prva-liga/wyniki","https://www.flashscore.pl/pilka-nozna/slowenia/prva-liga/mecze","slowenia","prva-liga","1"
"272",272,"https://www.flashscore.pl/pilka-nozna/slowenia/2-snl/wyniki","https://www.flashscore.pl/pilka-nozna/slowenia/2-snl/mecze","slowenia","2-snl","2"
"273",273,"https://www.flashscore.pl/pilka-nozna/slowenia/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/slowenia/puchar/mecze","slowenia","puchar","p"
"274",274,"https://www.flashscore.pl/pilka-nozna/szkocja/premiership/wyniki","https://www.flashscore.pl/pilka-nozna/szkocja/premiership/mecze","szkocja","premiership","1"
"275",275,"https://www.flashscore.pl/pilka-nozna/szkocja/dywizja-1/wyniki","https://www.flashscore.pl/pilka-nozna/szkocja/dywizja-1/mecze","szkocja","dywizja-1","2"
"276",276,"https://www.flashscore.pl/pilka-nozna/szkocja/league-one/wyniki","https://www.flashscore.pl/pilka-nozna/szkocja/league-one/mecze","szkocja","league-one","3"
"277",277,"https://www.flashscore.pl/pilka-nozna/szkocja/league-two/wyniki","https://www.flashscore.pl/pilka-nozna/szkocja/league-two/mecze","szkocja","league-two","3"
"278",278,"https://www.flashscore.pl/pilka-nozna/szkocja/scottish-cup/wyniki","https://www.flashscore.pl/pilka-nozna/szkocja/scottish-cup/mecze","szkocja","scottish-cup","p"
"279",279,"https://www.flashscore.pl/pilka-nozna/szwajcaria/super-league/wyniki","https://www.flashscore.pl/pilka-nozna/szwajcaria/super-league/mecze","szwajcaria","super-league","1"
"280",280,"https://www.flashscore.pl/pilka-nozna/szwajcaria/challenge-league/wyniki","https://www.flashscore.pl/pilka-nozna/szwajcaria/challenge-league/mecze","szwajcaria","challenge-league","2"
"281",281,"https://www.flashscore.pl/pilka-nozna/szwajcaria/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/szwajcaria/puchar/mecze","szwajcaria","puchar","p"
"282",282,"https://www.flashscore.pl/pilka-nozna/szwecja/allsvenskan/wyniki","https://www.flashscore.pl/pilka-nozna/szwecja/allsvenskan/mecze","szwecja","allsvenskan","1"
"283",283,"https://www.flashscore.pl/pilka-nozna/szwecja/superettan/wyniki","https://www.flashscore.pl/pilka-nozna/szwecja/superettan/mecze","szwecja","superettan","2"
"284",284,"https://www.flashscore.pl/pilka-nozna/szwecja/dywizja-1-norra/wyniki","https://www.flashscore.pl/pilka-nozna/szwecja/dywizja-1-norra/mecze","szwecja","dywizja-1-norra","3"
"285",285,"https://www.flashscore.pl/pilka-nozna/szwecja/dywizja-1-sodra/wyniki","https://www.flashscore.pl/pilka-nozna/szwecja/dywizja-1-sodra/mecze","szwecja","dywizja-1-sodra","3"
"286",286,"https://www.flashscore.pl/pilka-nozna/szwecja/allsvenskan-kobiety/wyniki","https://www.flashscore.pl/pilka-nozna/szwecja/allsvenskan-kobiety/mecze","szwecja","allsvenskan-kobiety","k"
"287",287,"https://www.flashscore.pl/pilka-nozna/szwecja/svenska-cupen/wyniki","https://www.flashscore.pl/pilka-nozna/szwecja/svenska-cupen/mecze","szwecja","svenska-cupen","p"
"288",288,"https://www.flashscore.pl/pilka-nozna/tadzykistan/vysshaya-liga/wyniki","https://www.flashscore.pl/pilka-nozna/tadzykistan/vysshaya-liga/mecze","tadzykistan","vysshaya-liga","1"
"289",289,"https://www.flashscore.pl/pilka-nozna/tajlandia/thai-league-1/wyniki","https://www.flashscore.pl/pilka-nozna/tajlandia/thai-league-1/mecze","tajlandia","thai-league-1","1"
"290",290,"https://www.flashscore.pl/pilka-nozna/tajwan/premier-league/wyniki","https://www.flashscore.pl/pilka-nozna/tajwan/premier-league/mecze","tajwan","premier-league","1"
"291",291,"https://www.flashscore.pl/pilka-nozna/tunezja/ligue-professionnelle-1/wyniki","https://www.flashscore.pl/pilka-nozna/tunezja/ligue-professionnelle-1/mecze","tunezja","ligue-professionnelle-1","1"
"292",292,"https://www.flashscore.pl/pilka-nozna/tunezja/ligue-2/wyniki","https://www.flashscore.pl/pilka-nozna/tunezja/ligue-2/mecze","tunezja","ligue-2","2"
"293",293,"https://www.flashscore.pl/pilka-nozna/tunezja/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/tunezja/puchar/mecze","tunezja","puchar","p"
"294",294,"https://www.flashscore.pl/pilka-nozna/turcja/super-lig/wyniki","https://www.flashscore.pl/pilka-nozna/turcja/super-lig/mecze","turcja","super-lig","1"
"295",295,"https://www.flashscore.pl/pilka-nozna/turcja/1-lig/wyniki","https://www.flashscore.pl/pilka-nozna/turcja/1-lig/mecze","turcja","1-lig","2"
"296",296,"https://www.flashscore.pl/pilka-nozna/turcja/2-lig-white-group/wyniki","https://www.flashscore.pl/pilka-nozna/turcja/2-lig-white-group/mecze","turcja","2-lig-white-group","3"
"297",297,"https://www.flashscore.pl/pilka-nozna/turcja/2-lig-red-group/wyniki","https://www.flashscore.pl/pilka-nozna/turcja/2-lig-red-group/mecze","turcja","2-lig-red-group","3"
"298",298,"https://www.flashscore.pl/pilka-nozna/turcja/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/turcja/puchar/mecze","turcja","puchar","p"
"299",299,"https://www.flashscore.pl/pilka-nozna/turkmenistan/yokary-liga/wyniki","https://www.flashscore.pl/pilka-nozna/turkmenistan/yokary-liga/mecze","turkmenistan","yokary-liga","1"
"300",300,"https://www.flashscore.pl/pilka-nozna/ukraina/premier-league/wyniki","https://www.flashscore.pl/pilka-nozna/ukraina/premier-league/mecze","ukraina","premier-league","1"
"301",301,"https://www.flashscore.pl/pilka-nozna/ukraina/persha-liga/wyniki","https://www.flashscore.pl/pilka-nozna/ukraina/persha-liga/mecze","ukraina","persha-liga","2"
"302",302,"https://www.flashscore.pl/pilka-nozna/ukraina/puchar-ukrainy/wyniki","https://www.flashscore.pl/pilka-nozna/ukraina/puchar-ukrainy/mecze","ukraina","puchar-ukrainy","p"
"303",303,"https://www.flashscore.pl/pilka-nozna/urugwaj/pierwsza-liga/wyniki","https://www.flashscore.pl/pilka-nozna/urugwaj/pierwsza-liga/mecze","urugwaj","pierwsza-liga","1"
"304",304,"https://www.flashscore.pl/pilka-nozna/urugwaj/segunda-division/wyniki","https://www.flashscore.pl/pilka-nozna/urugwaj/segunda-division/mecze","urugwaj","segunda-division","2"
"305",305,"https://www.flashscore.pl/pilka-nozna/usa/mls/wyniki","https://www.flashscore.pl/pilka-nozna/usa/mls/mecze","usa","mls","1"
"306",306,"https://www.flashscore.pl/pilka-nozna/usa/usl-championship/wyniki","https://www.flashscore.pl/pilka-nozna/usa/usl-championship/mecze","usa","usl-championship","2"
"307",307,"https://www.flashscore.pl/pilka-nozna/usa/us-open-puchar/wyniki","https://www.flashscore.pl/pilka-nozna/usa/us-open-puchar/mecze","usa","us-open-puchar","p"
"308",308,"https://www.flashscore.pl/pilka-nozna/uzbekistan/super-league/wyniki","https://www.flashscore.pl/pilka-nozna/uzbekistan/super-league/mecze","uzbekistan","super-league","1"
"309",309,"https://www.flashscore.pl/pilka-nozna/walia/premier-league/wyniki","https://www.flashscore.pl/pilka-nozna/walia/premier-league/mecze","walia","premier-league","1"
"310",310,"https://www.flashscore.pl/pilka-nozna/walia/faw-championship-north-mid/wyniki","https://www.flashscore.pl/pilka-nozna/walia/faw-championship-north-mid/mecze","walia","faw-championship-north-mid","2"
"311",311,"https://www.flashscore.pl/pilka-nozna/walia/faw-championship-south-mid/wyniki","https://www.flashscore.pl/pilka-nozna/walia/faw-championship-south-mid/mecze","walia","faw-championship-south-mid","2"
"312",312,"https://www.flashscore.pl/pilka-nozna/walia/puchar-ligi/wyniki","https://www.flashscore.pl/pilka-nozna/walia/puchar-ligi/mecze","walia","puchar-ligi","p"
"313",313,"https://www.flashscore.pl/pilka-nozna/wenezuela/primera-division/wyniki","https://www.flashscore.pl/pilka-nozna/wenezuela/primera-division/mecze","wenezuela","primera-division","1"
"314",314,"https://www.flashscore.pl/pilka-nozna/wegry/otp-bank-liga/wyniki","https://www.flashscore.pl/pilka-nozna/wegry/otp-bank-liga/mecze","wegry","otp-bank-liga","1"
"315",315,"https://www.flashscore.pl/pilka-nozna/wegry/merkantil-bank-liga/wyniki","https://www.flashscore.pl/pilka-nozna/wegry/merkantil-bank-liga/mecze","wegry","merkantil-bank-liga","2"
"316",316,"https://www.flashscore.pl/pilka-nozna/wegry/puchar/wyniki","https://www.flashscore.pl/pilka-nozna/wegry/puchar/mecze","wegry","puchar","p"
"317",317,"https://www.flashscore.pl/pilka-nozna/wietnam/v-league-1/wyniki","https://www.flashscore.pl/pilka-nozna/wietnam/v-league-1/mecze","wietnam","v-league-1","1"
"318",318,"https://www.flashscore.pl/pilka-nozna/wietnam/v-league-2/wyniki","https://www.flashscore.pl/pilka-nozna/wietnam/v-league-2/mecze","wietnam","v-league-2","2"
"319",319,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-a/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-a/mecze","wlochy","serie-a","1"
"320",320,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-b/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-b/mecze","wlochy","serie-b","2"
"321",321,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-c-group-a/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-c-group-a/mecze","wlochy","serie-c-group-a","3"
"322",322,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-c-group-b/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-c-group-b/mecze","wlochy","serie-c-group-b","3"
"323",323,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-c-group-c/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-c-group-c/mecze","wlochy","serie-c-group-c","3"
"324",324,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-c-promotion-play-offs/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-c-promotion-play-offs/mecze","wlochy","serie-c-promotion-play-offs","3"
"325",325,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-a/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-a/mecze","wlochy","serie-d-group-a","4"
"326",326,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-b/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-b/mecze","wlochy","serie-d-group-b","4"
"327",327,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-c/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-c/mecze","wlochy","serie-d-group-c","4"
"328",328,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-d/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-d/mecze","wlochy","serie-d-group-d","4"
"329",329,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-e/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-e/mecze","wlochy","serie-d-group-e","4"
"330",330,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-f/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-f/mecze","wlochy","serie-d-group-f","4"
"331",331,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-g/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-g/mecze","wlochy","serie-d-group-g","4"
"332",332,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-h/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-h/mecze","wlochy","serie-d-group-h","4"
"333",333,"https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-i/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/serie-d-group-i/mecze","wlochy","serie-d-group-i","4"
"334",334,"https://www.flashscore.pl/pilka-nozna/wlochy/puchar-wloch/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/puchar-wloch/mecze","wlochy","puchar-wloch","p"
"335",335,"https://www.flashscore.pl/pilka-nozna/wlochy/coppa-italia-serie-c/wyniki","https://www.flashscore.pl/pilka-nozna/wlochy/coppa-italia-serie-c/mecze","wlochy","coppa-italia-serie-c","p"
"336",336,"https://www.flashscore.pl/pilka-nozna/wyspy-owcze/premier-league/wyniki","https://www.flashscore.pl/pilka-nozna/wyspy-owcze/premier-league/mecze","wyspy-owcze","premier-league","1"
"337",337,"https://www.flashscore.pl/pilka-nozna/zea/uae-league/wyniki","https://www.flashscore.pl/pilka-nozna/zea/uae-league/mecze","zea","uae-league","1"
"338",338,"https://www.flashscore.pl/pilka-nozna/zea/league-cup/wyniki","https://www.flashscore.pl/pilka-nozna/zea/league-cup/mecze","zea","league-cup","p"
